task_id,pattern,difficulty,config,model,model_key,pass,reward,steps,delegations,tokens_in,tokens_cached,tokens_out,cost_usd,wallclock_s,terminal_reason,commit,run_id
2129_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,z-ai/glm-5.1,big,False,20.0,32,0,1788902,1533888,63584,0.93204,1135.35,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2137_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,z-ai/glm-5.1,big,False,20.38,36,0,1624062,1363712,54813,0.864209,786.28,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2139_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,z-ai/glm-5.1,big,False,20.0,32,0,1356592,1122624,60167,0.795755,867.68,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2159_hard_16_serial_subassemblies_branch_assigned,16_serial_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,22.92,45,0,2698564,2128704,67847,1.484814,1004.38,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2166_hard_17_shared_component_subassemblies_branch_assigned,17_shared_component_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,True,99.99,28,0,1352223,995072,58064,0.912791,1627.91,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2176_medium_18_manufacture_only_policy_forbidden,18_manufacture_only_policy_forbidden,medium,A_pi,z-ai/glm-5.1,big,True,99.27,27,0,1191580,822464,45929,0.839422,1758.91,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2179_medium_18_manufacture_only_policy_forbidden,18_manufacture_only_policy_forbidden,medium,A_pi,z-ai/glm-5.1,big,False,98.53,29,0,1267753,933888,48339,0.830622,718.92,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2184_medium_19_manufacture_only_no_buy_route,19_manufacture_only_no_buy_route,medium,A_pi,z-ai/glm-5.1,big,False,94.75,37,0,1837937,1488960,56773,1.012949,1256.77,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2187_medium_19_manufacture_only_no_buy_route,19_manufacture_only_no_buy_route,medium,A_pi,z-ai/glm-5.1,big,True,100.0,19,0,628833,522752,35467,0.396435,436.89,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2188_medium_19_manufacture_only_no_buy_route,19_manufacture_only_no_buy_route,medium,A_pi,z-ai/glm-5.1,big,False,20.18,48,0,2202377,1866368,68605,1.131777,2852.46,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2197_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,z-ai/glm-5.1,big,True,99.12,17,0,650844,303616,51509,0.712529,988.5,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2201_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,z-ai/glm-5.1,big,False,20.18,30,0,1445002,1203904,49739,0.782463,704.47,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2203_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,z-ai/glm-5.1,big,False,98.21,27,0,902332,742144,40189,0.534647,601.74,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2209_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,26,0,684323,526848,36298,0.465441,478.25,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2216_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,27,0,1367958,988480,62398,0.956543,877.92,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2225_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,z-ai/glm-5.1,big,False,89.61,23,0,912850,554816,41827,0.746585,584.12,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2228_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,z-ai/glm-5.1,big,True,100.0,27,0,1325416,1065344,44938,0.754936,618.75,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2230_hard_23_restricted_subassembly_qualified_workcenters_screened_all_seeded,23_restricted_subassembly_qualified_workcenters_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,3.08,27,0,1691192,1244416,119061,1.325613,2573.53,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2234_hard_23_restricted_subassembly_qualified_workcenters_screened_all_seeded,23_restricted_subassembly_qualified_workcenters_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,20.77,34,0,1751689,1444864,51993,0.93059,1756.4,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2241_hard_24_single_subassembly_shared_overflow_capacity_screened_invoicing,24_single_subassembly_shared_overflow_capacity_screened_invoicing,hard,A_pi,z-ai/glm-5.1,big,True,100.0,15,0,385191,295424,22771,0.272409,288.86,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2247_hard_24_single_subassembly_shared_overflow_capacity_screened_invoicing,24_single_subassembly_shared_overflow_capacity_screened_invoicing,hard,A_pi,z-ai/glm-5.1,big,False,97.11,35,0,1100903,836096,31865,0.655489,438.6,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2251_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,22.67,16,0,595725,407744,53695,0.5449,666.23,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2252_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,23.2,28,0,1445351,1224896,65769,0.824844,1174.57,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2260_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,23.82,25,0,1253705,995264,52509,0.766463,708.27,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2266_easy_26_buy_only_net_30_no_adjacent_data,26_buy_only_net_30_no_adjacent_data,easy,A_pi,z-ai/glm-5.1,big,True,100.0,28,0,329138,267264,12806,0.191213,197.82,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2273_easy_repair_plan_easy,repair_plan_easy,easy,A_pi,z-ai/glm-5.1,big,False,21.09,20,0,596744,424960,27861,0.426218,405.43,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2277_easy_repair_plan_easy,repair_plan_easy,easy,A_pi,z-ai/glm-5.1,big,True,100.0,14,0,284774,207360,27261,0.254017,368.54,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2289_medium_repair_plan_medium,repair_plan_medium,medium,A_pi,z-ai/glm-5.1,big,True,99.01,25,0,748263,455744,35713,0.616642,538.14,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2294_hard_repair_plan_hard,repair_plan_hard,hard,A_pi,z-ai/glm-5.1,big,False,20.38,54,0,3507426,3081664,103485,1.66737,1384.64,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2002_easy_01_buy_only_baseline,01_buy_only_baseline,easy,A_pi,z-ai/glm-5.1,big,True,100.0,22,0,193400,33920,13313,0.261602,12939.62,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2005_easy_01_buy_only_baseline,01_buy_only_baseline,easy,A_pi,z-ai/glm-5.1,big,False,20.97,29,0,381449,128256,24384,0.445596,13646.57,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2008_easy_02_buy_only_immediate_invoicing,02_buy_only_immediate_invoicing,easy,A_pi,z-ai/glm-5.1,big,False,0.0,12,0,21448,14336,1786,0.019388,5816.18,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2009_easy_02_buy_only_immediate_invoicing,02_buy_only_immediate_invoicing,easy,A_pi,z-ai/glm-5.1,big,False,0.0,9,0,25865,22144,4760,0.02872,5561.56,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2012_easy_02_buy_only_immediate_invoicing,02_buy_only_immediate_invoicing,easy,A_pi,z-ai/glm-5.1,big,True,100.0,19,0,353179,277120,17661,0.230618,1174.67,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2025_easy_04_buy_only_percentage_downpayment,04_buy_only_percentage_downpayment,easy,A_pi,z-ai/glm-5.1,big,True,100.0,13,0,127067,74048,15397,0.145103,1815.65,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2027_easy_04_buy_only_percentage_downpayment,04_buy_only_percentage_downpayment,easy,A_pi,z-ai/glm-5.1,big,True,100.0,13,0,133872,58432,15147,0.16871,4676.13,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2032_medium_05_screened_buy_only_all_seeded,05_screened_buy_only_all_seeded,medium,A_pi,z-ai/glm-5.1,big,False,0.0,9,0,8957,1344,772,0.012964,6105.31,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2034_medium_05_screened_buy_only_all_seeded,05_screened_buy_only_all_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,12,0,101135,30464,12074,0.143987,3565.73,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2044_medium_06_screened_buy_only_mixed_seeded,06_screened_buy_only_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,False,22.28,21,0,226444,71104,19893,0.291143,10401.48,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2048_medium_06_screened_buy_only_mixed_seeded,06_screened_buy_only_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,24,0,180908,40832,13708,0.240334,8391.88,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2053_medium_07_screened_buy_only_mixed_seeded_invoicing,07_screened_buy_only_mixed_seeded_invoicing,medium,A_pi,z-ai/glm-5.1,big,True,100.0,23,0,283357,32000,12478,0.373611,8120.1,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2064_medium_08_single_bom_single_workcenter,08_single_bom_single_workcenter,medium,A_pi,z-ai/glm-5.1,big,False,0.0,39,0,723365,45440,25555,0.966016,19264.63,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2067_medium_08_single_bom_single_workcenter,08_single_bom_single_workcenter,medium,A_pi,z-ai/glm-5.1,big,False,0.0,32,0,651869,53824,45831,0.947622,19422.41,timeout,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2073_medium_08_single_bom_single_workcenter,08_single_bom_single_workcenter,medium,A_pi,z-ai/glm-5.1,big,False,0.0,14,0,196791,168256,8862,0.11042,6611.4,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2074_medium_08_single_bom_single_workcenter,08_single_bom_single_workcenter,medium,A_pi,z-ai/glm-5.1,big,False,19.55,41,0,1104948,354944,34242,1.16366,14774.19,timeout,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2076_medium_09_single_bom_lowest_cost,09_single_bom_lowest_cost,medium,A_pi,z-ai/glm-5.1,big,False,0.0,29,0,256885,95360,10613,0.267863,8789.06,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2108_medium_12_single_subassembly_lowest_cost,12_single_subassembly_lowest_cost,medium,A_pi,z-ai/glm-5.1,big,False,0.0,12,0,68180,48064,6766,0.063386,5564.32,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2114_medium_12_single_subassembly_lowest_cost,12_single_subassembly_lowest_cost,medium,A_pi,z-ai/glm-5.1,big,True,100.0,28,0,828229,127296,40632,1.073866,14241.75,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2118_medium_13_single_subassembly_qualified_workcenters,13_single_subassembly_qualified_workcenters,medium,A_pi,z-ai/glm-5.1,big,False,0.0,23,0,290936,81856,25571,0.383856,11104.12,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2136_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,z-ai/glm-5.1,big,False,0.0,14,0,92801,52992,7294,0.091444,5557.52,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2141_hard_15_parallel_subassemblies_branch_assigned,15_parallel_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,0.0,11,0,65906,8064,4597,0.092972,6734.38,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2148_hard_15_parallel_subassemblies_branch_assigned,15_parallel_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,0.0,24,0,309466,210624,12839,0.224669,7566.37,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2149_hard_15_parallel_subassemblies_branch_assigned,15_parallel_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,0.0,33,0,605622,44352,41660,0.882552,18797.86,timeout,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2164_hard_17_shared_component_subassemblies_branch_assigned,17_shared_component_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,0.0,15,0,54122,24320,5089,0.063394,9040.12,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2169_hard_17_shared_component_subassemblies_branch_assigned,17_shared_component_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,0.0,16,0,229659,15616,27818,0.383508,7837.49,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2170_hard_17_shared_component_subassemblies_branch_assigned,17_shared_component_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,0.0,20,0,223180,183488,5925,0.116411,5564.53,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2174_medium_18_manufacture_only_policy_forbidden,18_manufacture_only_policy_forbidden,medium,A_pi,z-ai/glm-5.1,big,False,21.23,29,0,424365,25536,31678,0.633945,18567.09,timeout,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2213_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,False,98.57,30,0,867042,201664,38349,1.037428,14239.58,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2215_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,False,0.0,16,0,137873,32256,15293,0.201186,9268.79,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2226_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,z-ai/glm-5.1,big,False,0.0,20,0,105788,88448,4263,0.059427,8781.66,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2267_easy_26_buy_only_net_30_no_adjacent_data,26_buy_only_net_30_no_adjacent_data,easy,A_pi,z-ai/glm-5.1,big,True,100.0,46,0,716471,442944,17846,0.518963,11876.14,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2270_easy_26_buy_only_net_30_no_adjacent_data,26_buy_only_net_30_no_adjacent_data,easy,A_pi,z-ai/glm-5.1,big,True,100.0,24,0,169584,36992,10524,0.217397,9913.03,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2282_medium_repair_plan_medium,repair_plan_medium,medium,A_pi,z-ai/glm-5.1,big,False,98.36,51,0,1348799,849536,36300,0.971611,13324.89,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2019_easy_03_buy_only_fixed_downpayment,03_buy_only_fixed_downpayment,easy,A_pi,z-ai/glm-5.1,big,True,100.0,21,0,476297,344896,26346,0.350601,3566.98,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2081_medium_09_single_bom_lowest_cost,09_single_bom_lowest_cost,medium,A_pi,z-ai/glm-5.1,big,False,20.0,29,0,1305283,968576,59859,0.887939,4675.63,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2098_hard_11_restricted_subassembly_qualified_workcenters,11_restricted_subassembly_qualified_workcenters,hard,A_pi,z-ai/glm-5.1,big,False,19.09,31,0,1898833,1634880,74310,1.00941,753.25,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2105_hard_11_restricted_subassembly_qualified_workcenters,11_restricted_subassembly_qualified_workcenters,hard,A_pi,z-ai/glm-5.1,big,False,20.38,52,0,1665122,1268224,41065,0.959473,1325.6,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2107_medium_12_single_subassembly_lowest_cost,12_single_subassembly_lowest_cost,medium,A_pi,z-ai/glm-5.1,big,True,100.0,23,0,820534,558144,41522,0.625644,698.65,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2124_medium_13_single_subassembly_qualified_workcenters,13_single_subassembly_qualified_workcenters,medium,A_pi,z-ai/glm-5.1,big,False,19.55,45,0,2067100,1642240,47408,1.107343,4423.53,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2155_hard_16_serial_subassemblies_branch_assigned,16_serial_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,0.0,15,0,148848,97792,4822,0.106309,3072.54,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2158_hard_16_serial_subassemblies_branch_assigned,16_serial_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,True,100.0,31,0,1443721,1168768,71338,0.902431,3660.19,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2177_medium_18_manufacture_only_policy_forbidden,18_manufacture_only_policy_forbidden,medium,A_pi,z-ai/glm-5.1,big,True,99.99,47,0,1714166,1467328,42685,0.823403,686.69,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2198_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,z-ai/glm-5.1,big,True,100.0,37,0,1181233,1017152,40586,0.605476,826.21,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
